,Year,time,entropy
0,1820,0,2.072697961365785e+17
1,1821,1,2.072917020015623e+17
2,1822,2,2.072880609713689e+17
3,1823,3,2.0727025955123302e+17
4,1824,4,2.0727025955123302e+17
5,1825,5,2.0727025955123302e+17
6,1826,6,2.0726778442782784e+17
7,1827,7,2.0726325972577696e+17
8,1828,8,2.0729115176456618e+17
9,1829,9,2.0729115176456618e+17
10,1830,10,2.072643541921134e+17
11,1831,11,2.072643541921134e+17
12,1832,12,2.072446271723959e+17
13,1833,13,2.0723862621832186e+17
14,1834,14,2.0724076767368458e+17
15,1835,15,2.07264995703019e+17
16,1836,16,2.0728039314979296e+17
17,1837,17,2.0728039314979296e+17
18,1838,18,2.0727447278674992e+17
19,1839,19,2.0727447278674992e+17
20,1840,20,2.072823869793094e+17
21,1841,21,2.0727876286423693e+17
22,1842,22,2.0727794342517037e+17
23,1843,23,2.07232886860383e+17
24,1844,24,2.072242989607216e+17
25,1845,25,2.0723490619401507e+17
26,1846,26,2.0723490619401507e+17
27,1847,27,2.0722392065163194e+17
28,1848,28,2.078414400960477e+17
29,1849,29,2.078414400960477e+17
30,1850,30,2.078414400960477e+17
31,1851,31,2.078414400960477e+17
32,1852,32,2.078560425941116e+17
33,1853,33,2.0817193323635194e+17
34,1854,34,2.0818342760244195e+17
35,1855,35,2.0818342760244195e+17
36,1856,36,2.0814538664606992e+17
37,1857,37,2.0814538664606992e+17
38,1858,38,2.087901311637136e+17
39,1859,39,2.087914811167322e+17
40,1860,40,2.087914811167322e+17
41,1861,41,2.087914811167322e+17
42,1862,42,2.087914811167322e+17
43,1863,43,2.0942322538637434e+17
44,1864,44,2.0942322538637434e+17
45,1865,45,2.0942593707460698e+17
46,1866,46,2.0944198475720304e+17
47,1867,47,2.0944198475720304e+17
48,1868,48,2.100737856161991e+17
49,1869,49,2.100737856161991e+17
50,1870,50,2.100737856161991e+17
51,1871,51,2.1007718008201856e+17
52,1872,52,2.10071913769962e+17
53,1873,53,2.1070370899934534e+17
54,1874,54,2.1070370899934534e+17
55,1875,55,2.1070370899934534e+17
56,1876,56,2.107058659951669e+17
57,1877,57,2.107058659951669e+17
58,1878,58,2.1228537023800925e+17
59,1879,59,2.1228556243900934e+17
60,1880,60,2.1234011894991907e+17
61,1881,61,2.12361497479826e+17
62,1882,62,2.1231481955782768e+17
63,1883,63,2.1356831919014595e+17
64,1884,64,2.1357090007288355e+17
65,1885,65,2.1357186632293517e+17
66,1886,66,2.1355886315476845e+17
67,1887,67,2.1354697293156275e+17
68,1888,68,2.151405972003629e+17
69,1889,69,2.151405972003629e+17
70,1890,70,2.1510413014839098e+17
71,1891,71,2.151237465670342e+17
72,1892,72,2.1512825065129027e+17
73,1893,73,2.1512825065129027e+17
74,1894,74,2.1510660789521536e+17
75,1895,75,2.1511882099472826e+17
76,1896,76,2.1512283195179696e+17
77,1897,77,2.1514678581111856e+17
78,1898,78,2.151127757883657e+17
79,1899,79,2.1512570706326714e+17
80,1900,80,2.151241498634543e+17
81,1901,81,2.151196242651827e+17
82,1902,82,2.1511890722930672e+17
83,1903,83,2.1699538057655082e+17
84,1904,84,2.1699538057655082e+17
85,1905,85,2.1700118447177664e+17
86,1906,86,2.169992750700802e+17
87,1907,87,2.1699516391147773e+17
88,1908,88,2.1887265415944726e+17
89,1909,89,2.1888313234192803e+17
90,1910,90,2.1888313234192803e+17
91,1911,91,2.1887795001556582e+17
92,1912,92,2.1892763284731046e+17
93,1913,93,2.1987537151764512e+17
94,1914,94,2.1984390560106416e+17
95,1915,95,2.1984390560106416e+17
96,1916,96,2.1980369277673568e+17
97,1917,97,2.1984774952059693e+17
98,1918,98,2.198725415977036e+17
99,1919,99,2.1995135145114762e+17
100,1920,100,2.1995135145114762e+17
101,1921,101,2.1995135145114762e+17
102,1922,102,2.1996369563389987e+17
103,1923,103,2.2250067234695683e+17
104,1924,104,2.225065597523898e+17
105,1925,105,2.2250903655978976e+17
106,1926,106,2.22523053154914e+17
107,1927,107,2.225591253698861e+17
108,1928,108,2.2508146939284003e+17
109,1929,109,2.2508146939284003e+17
110,1930,110,2.2508146939284003e+17
111,1931,111,2.2508146939284003e+17
112,1932,112,2.2508070643594157e+17
113,1933,113,2.269774539620871e+17
114,1934,114,2.269774539620871e+17
115,1935,115,2.269846319534937e+17
116,1936,116,2.2698627847911757e+17
117,1937,117,2.27002057674181e+17
118,1938,118,2.270072185038855e+17
119,1939,119,2.269809787612365e+17
120,1940,120,2.270065627610219e+17
121,1941,121,2.2701738647834262e+17
122,1942,122,2.2700238651582198e+17
123,1943,123,2.2699796779847334e+17
124,1944,124,2.2700463471021843e+17
125,1945,125,2.2700463471021843e+17
126,1946,126,2.269901846349908e+17
127,1947,127,2.269868384522167e+17
128,1948,128,2.2697279563033008e+17
129,1949,129,2.2698525079044394e+17
130,1950,130,2.2698525079044394e+17
131,1951,131,2.2697933162670237e+17
132,1952,132,2.2697933162670237e+17
133,1953,133,2.2855996764081587e+17
134,1954,134,2.285532337951282e+17
135,1955,135,2.2858697441234768e+17
136,1956,136,2.2858889373348774e+17
137,1957,137,2.302093512206025e+17
138,1958,138,2.3019762792420362e+17
139,1959,139,2.30203488485792e+17
140,1960,140,2.3146379370327542e+17
141,1961,141,2.3146252063374182e+17
142,1962,142,2.32094931892304e+17
143,1963,143,2.327273431508661e+17
144,1964,144,2.3304354878014717e+17
145,1965,145,2.336759600387093e+17
146,1966,146,2.336759600387093e+17
147,1967,147,2.349368379327055e+17
148,1968,148,2.3525303825293795e+17
149,1969,149,2.3589799352621446e+17
150,1970,150,2.371507763437809e+17
151,1971,151,2.377756948798235e+17
152,1972,152,2.3842249718779568e+17
153,1973,153,2.3905491760473942e+17
154,1974,154,2.406098051351751e+17
155,1975,155,2.4219068427535363e+17
156,1976,156,2.4187696202315862e+17
157,1977,157,2.425685095020931e+17
158,1978,158,2.447823029395307e+17
159,1979,159,2.4606179842715315e+17
160,1980,160,2.473268976478583e+17
161,1981,161,2.4795944725821088e+17
162,1982,162,2.4890827167373974e+17
163,1983,163,2.498570960892686e+17
164,1984,164,2.5143516578114803e+17
165,1985,165,2.5270024837627328e+17
166,1986,166,2.539703181457937e+17
167,1987,167,2.5527032762058176e+17
168,1988,168,2.5652960825553168e+17
169,1989,169,2.5747854638717974e+17
170,1990,170,2.5748069055598493e+17
171,1991,171,2.593785826239652e+17
172,1992,172,2.6064384400261866e+17
173,1993,173,2.6064384400261866e+17
174,1994,174,2.6222542072593552e+17
175,1995,175,2.62552042353192e+17
176,1996,176,2.6445000892441987e+17
177,1997,177,2.6574323376844064e+17
178,1998,178,2.670177811542278e+17
179,1999,179,2.6888116347666054e+17
180,2000,180,2.6951382503778208e+17
181,2001,181,2.7049189284926822e+17
182,2002,182,2.7212787549310045e+17
183,2003,183,2.7402644206630813e+17
184,2004,184,2.7624143640171712e+17
185,2005,185,2.7719071968832093e+17
186,2006,186,2.794034648525122e+17
187,2007,187,2.797113222820862e+17
188,2008,188,2.8129003260834966e+17
189,2009,189,2.8163281552218394e+17
190,2010,190,2.8416434644822608e+17
191,2011,191,2.8478079875252326e+17
192,2012,192,2.8669342473179043e+17
193,2013,193,2.8955606025277485e+17
194,2014,194,2.908687687314342e+17
195,2015,195,2.9253941170240096e+17
196,2016,196,2.944410127631338e+17
197,2017,197,2.963160685508811e+17
198,2018,198,2.978890988720012e+17
199,2019,199,2.9887372490975206e+17
